Header,pelvis_x,pelvis_y,pelvis_z,pelvis_rotx,pelvis_roty,pelvis_rotz,femur_r_x,femur_r_y,femur_r_z,femur_r_rotx,femur_r_roty,femur_r_rotz,tibia_r_x,tibia_r_y,tibia_r_z,tibia_r_rotx,tibia_r_roty,tibia_r_rotz,talus_r_x,talus_r_y,talus_r_z,talus_r_rotx,talus_r_roty,talus_r_rotz,calcn_r_x,calcn_r_y,calcn_r_z,calcn_r_rotx,calcn_r_roty,calcn_r_rotz,toes_r_x,toes_r_y,toes_r_z,toes_r_rotx,toes_r_roty,toes_r_rotz,femur_l_x,femur_l_y,femur_l_z,femur_l_rotx,femur_l_roty,femur_l_rotz,torso_x,torso_y,torso_z,torso_rotx,torso_roty,torso_rotz,DriveOutputKF_x,DriveOutputKF_y,DriveOutputKF_z,DriveOutputKF_rotx,DriveOutputKF_roty,DriveOutputKF_rotz,KneeAssembly_x,KneeAssembly_y,KneeAssembly_z,KneeAssembly_rotx,KneeAssembly_roty,KneeAssembly_rotz,AnkleAssembly_x,AnkleAssembly_y,AnkleAssembly_z,AnkleAssembly_rotx,AnkleAssembly_roty,AnkleAssembly_rotz,Foot_x,Foot_y,Foot_z,Foot_rotx,Foot_roty,Foot_rotz,Pylon_x,Pylon_y,Pylon_z,Pylon_rotx,Pylon_roty,Pylon_rotz
1168,0.53920217,0.99574889,1.06747819,80.5258537149048,-9.78307649681641,83.8068390379243,0.659050050536031,0.897459011339344,0.980200047885552,87.7939438561492,1.16464093583798,78.970552107745,0.674133435267592,0.888239708573139,0.550129927673725,86.9628281380566,43.4176691815733,76.9268980895478,0.623333375999628,0.554655633087475,0.19458592864642,85.8698896937491,38.073200657234,76.124158713382,0.617965697003882,0.481016598435784,0.191833726693818,85.86988428143,38.0731999479319,76.1241554511663,0.652623620209853,0.616224051206826,0.0800644130419237,85.8698845114946,38.0732002970155,76.1241554191461,0.431866264176034,0.928649577996544,0.942503894816285,89.7686009313118,-11.807617412724,94.3072197120372,0.503694784631099,0.841577977905353,1.1539067477251,87.1900881456542,25.878443313214,81.1398834313862,0.381394155215359,0.974314882670376,0.51106714752029,89.7686009313118,-11.807617412724,94.3072197120372,0.381405204458444,0.974007413975397,0.514057136235959,89.771499736059,-7.58162343523513,94.2900172878371,0.380536552832404,0.993446057018931,0.367934987521335,89.771499736059,-7.58162343523513,94.2900172878371,0.382747530921853,0.964149510918406,0.360669126402552,89.7672000494732,-13.3598454504569,94.3136465403287,0.396736905658043,0.630915364257026,3.09311306104907,89.771499736059,-7.58162343523513,94.2900172878371
1169,0.53005177,0.991731346666667,1.07093715333333,80.9105557569435,-9.89528065372118,83.655461164311,0.649194247992344,0.893497172067445,0.982636498263801,87.0135708749316,-4.8577782023346,78.1479411537315,0.679561497496528,0.928385168504757,0.55218763469013,85.5873942218511,47.5671763175637,74.6350748584394,0.620350953720215,0.570575229368528,0.222435188687641,85.214889879602,45.7744462083975,74.3844780924119,0.613372823293243,0.49736587825499,0.229561942724449,85.2148836582343,45.7744454464175,74.384474306238,0.647772561184656,0.615825136241391,0.10010666616025,85.2148838610086,45.7744457681535,74.3844742676239,0.421822445252058,0.925126014444846,0.946470162563571,89.2469660129982,-9.85345513265585,94.4482072122937,0.494863097423056,0.83738283942463,1.15717888207702,87.0587552609286,26.4965760447064,80.9562070233498,0.376302659354761,0.956345984333016,0.513199250404346,89.2469660129982,-9.85345513265585,94.4482072122937,0.376283141206941,0.956151808341699,0.515831509209583,89.253789941173,-6.14293389031162,94.3991899797374,0.376987424531778,0.972025690397357,0.369278373461891,89.253789941173,-6.14293389031162,94.3991899797374,0.379598544365149,0.93876136951961,0.361679418072366,89.2395395716658,-12.6767066891846,94.4862091795288,0.363852540523567,0.67597779005932,3.10249435515634,89.253789941173,-6.14293389031162,94.3991899797374
1170,0.523826673333334,0.986955660000001,1.07367868,81.4234802906786,-10.2662487729569,83.5487723402445,0.642223762603494,0.889347551542353,0.98369715288066,87.1777984475913,-10.2353264344942,78.0881761640162,0.680010243834523,0.964710799713072,0.556935220010156,85.6877332992162,49.8799068630537,74.2861447651946,0.614259954546263,0.594925225391274,0.241965308485912,85.3354255453526,48.2712057184733,74.0458078019459,0.606852961952722,0.522130573035144,0.252220505553337,85.3354209280797,48.2712051787371,74.0458049692632,0.640365614426819,0.634848848828744,0.117513049092054,85.3354209787535,48.2712052598612,74.0458049593187,0.414578942594447,0.921304101114246,0.949595260675221,88.9161928145727,-7.93760409001318,94.51559402026,0.489282066976169,0.831981045020675,1.15905361206972,86.6124827828797,26.8910121816683,80.6010203081581,0.372653377827473,0.938241114299318,0.515169426550937,88.9161928145727,-7.93760409001318,94.51559402026,0.372618090160144,0.938137875630443,0.517466727475306,88.922948247267,-4.70490853572481,94.4542628966374,0.374441738859998,0.950405728840949,0.370577409187607,88.922948247267,-4.70490853572481,94.4542628966374,0.377514887384465,0.912139321557086,0.362508613153352,88.9017949247297,-12.1953151988815,94.5979062728006,0.340430690607715,0.72161026646501,3.1100631952532,88.922948247267,-4.70490853572481,94.4542628966374
1171,0.52053003,0.98138805,1.07618673,81.892964242109,-10.5096387935678,83.4664368245937,0.638248472471111,0.884250072057359,0.984816765840843,88.1310441174565,-14.8549384955832,78.2978193729795,0.675745628307949,0.995152858202678,0.564662107949925,87.2263523763153,49.3494148927083,75.7134569759278,0.607066657422352,0.629329737106512,0.245715153562306,86.0804711641738,44.4216867399043,74.8627377096196,0.599940952124047,0.555978226738327,0.250994762310119,86.080467409409,44.4216862960124,74.8627354266996,0.634108504507489,0.677632443562226,0.124474264788616,86.0804674146733,44.4216863041327,74.8627354259206,0.410352716602133,0.916367594637156,0.95259389524049,88.782260283559,-6.06703055171292,94.5372354760184,0.486632360453151,0.8259752842022,1.161022809404,86.0328584001443,27.1617484197681,80.0836928790699,0.370551822767644,0.919231945032467,0.51764780076667,88.782260283559,-6.06703055171292,94.5372354760184,0.370512193882517,0.919199417374549,0.519635341318093,88.7871036231885,-3.27266585708936,94.4777629269658,0.372966143678134,0.927830880820588,0.372496720578396,88.7871036231885,-3.27266585708936,94.4777629269658,0.376542214650095,0.88380419132081,0.363919557323878,88.7626399584152,-11.8660196414615,94.6629571026595,0.327199979989879,0.76685408755196,3.11663199737374,88.7871036231885,-3.27266585708936,94.4777629269658
1172,0.51885268,0.97525357,1.07845543666667,82.0035000696998,-10.4004510614049,83.407707400016,0.636313282176056,0.877882986781839,0.987001266355803,89.2673648255424,-18.6196349570773,78.5789863829251,0.670206157736082,1.01749855611306,0.575278780056317,89.0127992887522,45.3071821868847,77.6432330446019,0.603897261839622,0.675355582128755,0.230587857109757,86.7885353498193,35.484726396441,75.8378627617951,0.597449879912145,0.602012807607377,0.224394093342076,86.7885296820419,35.4847256737646,75.8378593353128,0.633950443109143,0.74179830359358,0.119026496813574,86.7885298118413,35.4847258660936,75.8378593220598,0.408371933956657,0.910100679738217,0.955203684341204,88.8074106565149,-4.36587078637875,94.4792668841277,0.485028893943225,0.820006151877069,1.16362309957473,85.630994370135,27.3251024336534,79.5990409886079,0.369393128305487,0.90011391330845,0.520288361597194,88.8074106565149,-4.36587078637875,94.4792668841277,0.369354443905058,0.900133268662454,0.52207521017338,88.8102489515344,-1.85379237488225,94.426960805601,0.372038108949106,0.905122925099695,0.374772124616527,88.8102489515344,-1.85379237488225,94.426960805601,0.376013446558896,0.85571313483415,0.365958486309749,88.7866336151304,-11.4712725262896,94.6297873477016,0.321987755877617,0.812065832545157,3.12197467025184,88.8102489515344,-1.85379237488225,94.426960805601
1173,0.517439503333333,0.969143926666667,1.08007033,81.8938388268337,-10.1172020112149,83.2998196129177,0.634801088297891,0.871044900044774,0.989269844552514,90.1812949703648,-21.3761033118672,78.7931856933829,0.665035539793464,1.03072261656346,0.586029818424669,90.2140286915197,37.9275387346304,78.9908220011106,0.605701903678545,0.735326667300247,0.199388809906622,87.4997074896927,24.570147678942,76.5403223357591,0.600148420426614,0.66440920190465,0.179414678049216,87.4997009115054,24.5701467662017,76.5403182529184,0.638943104104008,0.82149271733008,0.103294062576404,87.4997010752742,24.5701470020184,76.5403182415959,0.406973358869307,0.90360512197979,0.957010243804178,88.858831684116,-2.77389298589729,94.395386443455,0.483159959810071,0.814410933138901,1.16598862695731,85.5379397999737,27.4617478798968,79.1079452004852,0.368518346086039,0.881599434412476,0.522490529110162,88.858831684116,-2.77389298589729,94.395386443455,0.368479869527919,0.881662651536456,0.524178374925749,88.8601412794626,-0.399393078367775,94.3480993342001,0.37132600281133,0.882909378512331,0.376799126246768,88.8601412794626,-0.399393078367775,94.3480993342001,0.375655132436271,0.828187700749348,0.367976637798459,88.8387454012659,-11.0227336127332,94.5621840823117,0.318245617075707,0.859657920412271,3.12542211410975,88.8601412794626,-0.399393078367775,94.3480993342001
1174,0.51594747,0.96383448,1.08063659,81.8898060284207,-9.89899001661622,83.1203522768744,0.632964886849633,0.86502343501994,0.99016454818131,90.7978387185559,-22.9564686842909,79.2551909351748,0.659122425369873,1.03517359700621,0.593330438717925,90.8332467822969,28.1548668846758,79.9595847125115,0.611783513817816,0.808690955168013,0.16120180383863,88.3664312139945,13.9492946363647,77.3708405798197,0.607617446323969,0.742586112842388,0.128462107435593,88.3664255670547,13.9492938033801,77.3708368453336,0.64656273056257,0.911203289292632,0.0834496753582032,88.3664257108525,13.9492940067814,77.3708368393566,0.405228165240748,0.898177589593086,0.957867305963735,88.8653690096719,-1.10225129977818,94.3877315097704,0.481214935965678,0.809536757692252,1.16715366410949,85.7098497870926,27.5328861495898,78.5586997920784,0.367690084657286,0.863542784457366,0.524091161471485,88.8653690096719,-1.10225129977818,94.3877315097704,0.367651158407183,0.863644949765249,0.525658475029851,88.8653676167357,1.10590062100402,94.3440003391566,0.370777251611689,0.861029667107606,0.378302831833205,88.8653676167357,1.10590062100402,94.3440003391566,0.375602054106848,0.800127444056752,0.36948515240976,88.8455339846739,-10.6925241325106,94.5800966897995,0.31247561334766,0.909804688672646,3.12648557745066,88.8653676167357,1.10590062100402,94.3440003391566
1175,0.515603093333333,0.959733083333334,1.08003678,81.9672683738725,-9.74070261697084,82.9398508449308,0.632181254782246,0.860347626918527,0.989626868300747,91.1994333197947,-23.2896680886877,79.9814119004121,0.653255213927453,1.0313738170138,0.595688097961092,91.1517235452784,16.9496051297154,80.7915060411229,0.620666266954458,0.891919965448394,0.126901258872847,89.2923588269786,3.78041082464479,78.3642424536249,0.618263974997213,0.832565502979216,0.0829652736651695,89.2923546035739,3.78041016890215,78.3642393665277,0.65530305047205,1.00695894876118,0.0691943130500837,89.292354733172,3.78041035066735,78.3642393642777,0.404488891611098,0.894083685056625,0.957620770064243,88.9534411551101,0.638585713695141,94.4823501980911,0.480564306704475,0.805761070136281,1.16700943504683,85.9028386312785,27.4711666360282,77.8486460537436,0.36737307788345,0.846212936136468,0.525068774900194,88.9534411551101,0.638585713695141,94.4823501980911,0.367335449888195,0.846351009509191,0.526530091723534,88.9523410373702,2.70227944987901,94.4446169729059,0.370561133579389,0.839632026867132,0.379306628984132,88.9523410373702,2.70227944987901,94.4446169729059,0.376079590066312,0.771464556465338,0.370533230630856,88.9357419025409,-10.4833067787974,94.6876430319902,0.310402132738615,0.964941053141537,3.12502420907398,88.9523410373702,2.70227944987901,94.4446169729059
1176,0.517180256666666,0.956747063333334,1.07872852,81.9968803433469,-9.55193756630338,82.7227124545115,0.633306263290979,0.856641289769037,0.988531660344917,91.4925614771072,-22.4853428598459,80.5121254872193,0.649325423246857,1.02005043164353,0.593778917312761,91.384302981847,4.98288752414264,81.2033228200387,0.631113819778904,0.979798830266966,0.105599992358671,90.2370240798604,-5.79031209719952,79.1341522336589,0.630269373619827,0.92855635422482,0.0523779144437984,90.2370212758349,-5.79031255479871,79.1341498834134,0.664893636399147,1.10325134194222,0.0684224802966736,90.2370213629269,-5.79031243270934,79.134149883921,0.405710908517186,0.89111792636071,0.956624918044884,89.1808182365795,2.37930362466932,94.5374795908093,0.481652009610809,0.803185321567789,1.16622637865575,86.1538406442364,27.3310036949767,77.1285830290009,0.367965732962362,0.830004746144869,0.525799081218119,89.1808182365795,2.37930362466932,94.5374795908093,0.367930311417255,0.830187103367648,0.527253257352831,89.1790607959685,4.43987776297318,94.5079343746548,0.370932665174977,0.8189779765291,0.380298709646981,89.1790607959685,4.43987776297318,94.5079343746548,0.377131061997215,0.742970213190883,0.371851692128643,89.1682740863729,-10.2413689485052,94.7193382430337,0.314938767593452,1.02802819206803,3.12100102436108,89.1790607959685,4.43987776297318,94.5079343746548
1177,0.52063342,0.95528175,1.07690716,81.8403795906086,-9.27775007473889,82.4579270453961,0.636434006578079,0.854130785417771,0.987461113025791,91.6915599877512,-20.881514978789,81.034879215275,0.647301667006854,1.00367197076209,0.588947091362076,91.5918530485127,-6.86773530457818,81.4475675087827,0.642549663774879,1.06363675007029,0.102478016917066,91.0980539067438,-13.830387777217,80.0184263461171,0.643168431271467,1.0203621207048,0.0425946502958811,91.0980522294456,-13.8303880647765,80.0184247021655,0.674371000562963,1.19164547761597,0.0833747645042728,91.0980522986993,-13.8303879671221,80.0184247040931,0.409082124448613,0.88959615829757,0.954908798082458,89.5388683392016,4.16376077846187,94.5420248235116,0.484147950790744,0.802349928562936,1.16511151743655,86.6679270900129,27.0979665561446,76.7898215308537,0.369704728195706,0.814940046167517,0.526369060908404,89.5388683392016,4.16376077846187,94.5420248235116,0.369673439939988,0.815179106793117,0.527878679603911,89.5372797567536,6.31270508469546,94.5246277425938,0.372138834307154,0.799115417776551,0.381365275883319,89.5372797567536,6.31270508469546,94.5246277425938,0.378939465188594,0.714914446893055,0.373634737328198,89.5330922167568,-9.9298557594582,94.6559805970209,0.326159229359507,1.0987032179355,3.11384025527237,89.5372797567536,6.31270508469546,94.5246277425938
