Header,Healthy_vx,Healthy_vy,Healthy_vz,Healthy_px,Healthy_py,Healthy_pz,Healthy_moment_x,Healthy_moment_y,Healthy_moment_z,Prosthesis_vx,Prosthesis_vy,Prosthesis_vz,Prosthesis_px,Prosthesis_py,Prosthesis_pz,Prosthesis_moment_x,Prosthesis_moment_y,Prosthesis_moment_z
1706,0,0,0,1.12010000610352,0,0,0,0,0,91.1458333333326,42.1142578124913,943.806966145869,0.439102875257421,0.931565192821652,0,878.865562500023,-415.181479166683,-72.6725286458397
1707,0,0,0,1.12010000610352,0,0,0,0,0,87.9414876302098,57.7036539713397,905.354817708317,0.441474028343732,0.905742563770225,0,825.764958333317,-400.370281250001,-60.9741210937526
1708,0,0,0,1.12010000610352,0,0,0,0,0,81.1004638671875,69.580078125,879.5166015625,0.443962478132788,0.879212878138885,0,772.583,-389.953625,-44.49462890625
1709,16.174316406263,51.5238444009925,134.175618489489,0.767873224726733,1.15918271596148,0,156.24999999984,47.8922526041349,-33.2234700520787,72.2249348958586,78.5064697265647,835.520426432321,0.446652979011519,0.859465858457606,0,715.77962500003,-374.003093750013,-32.2469075520978
1710,-33.416748046875,-68.0033365885456,621.541341145755,0.773907622596477,1.18522950534486,0,743.570958333249,216.023765624975,68.2169557291661,52.0324707031337,55.9488932291598,650.278727213584,0.4526716758943,0.849130046164057,0,549.886041666685,-293.355312500021,-19.2667643229282
1711,-63.5528564453125,-109.939575195313,973.663330078125,0.781005844989391,1.18791577425667,0,1163.452125,330.13915625,125.5493125,37.6129150390625,50.811767578125,429.99267578125,0.462093304593351,0.857490065694669,0,368.40821875,-199.401859375,-15.5029296875
1712,-112.737019856768,-102.361043294268,889.689127604183,0.789134923599238,1.17003661090471,0,1046.34604166669,291.564937500012,179.280593750001,35.2986653645696,81.4310709635641,342.50895182298,0.445338915423927,0.897585731829456,0,312.581385416752,-154.012052083343,0.915527832038189
1713,-110.982259114574,-66.0705566406196,766.703287760448,0.789700186819061,1.14740867913925,0,881.510416666711,253.540046874997,158.95589062499,26.8300374348973,52.2613525390592,179.595947265658,0.427925745431698,0.918351225258703,0,165.649416666679,-77.6163776041817,-0.101725575760926
1714,-83.9996337890625,-54.2449951171875,887.75634765625,0.782514397391351,1.13054150113062,0,1005.9814375,301.94090625,133.42284375,3.204345703125,33.721923828125,25.787353515625,0.466730429997008,0.631144075285988,0,19.775390625,-12.26806640625,9.82666015625
1715,-82.9823811849385,-58.2377115885446,1106.5673828125,0.778926752216448,1.10852812019773,0,1226.60320833335,377.970374999986,125.081377604209,0,0,0,0,0,0,0,0,0
1716,-102.005004882807,-54.5501708984234,1182.65787760417,0.780751192889494,1.08355172013325,0,1283.20308333334,401.346833333335,142.354333333322,0,0,0,0,0,0,0,0,0
1717,-93.3837890625,-30.1361083984375,1034.5458984375,0.783347373726484,1.06407351371184,0,1101.806625,350.3418125,120.3002890625,0,0,0,0,0,0,0,0,0
1718,-68.5882568359483,-20.675659179629,870.615641276118,0.785378653671551,1.05023228124242,0,915.24250000011,293.375645833355,92.6106744791534,0,0,0,0,0,0,0,0,0
1719,-54.4484456380223,-10.0199381510326,820.668538411468,0.78590909996036,1.03477746666775,0,846.516916666688,274.47509375,72.7335598958336,0,0,0,0,0,0,0,0,0
1720,-41.046142578125,-6.6375732421875,838.92822265625,0.784649750480977,1.01405577340889,0,853.75975,282.348625,57.373046875,0,0,0,0,0,0,0,0,0
1721,-50.175984700531,-3.33150227860825,933.481852213553,0.785132945176129,0.990666986084865,0,924.641937500034,313.293447916672,62.4186197916574,0,0,0,0,0,0,0,0,0
1722,-57.2204589843761,13.3260091145891,1056.72200520833,0.785417989967196,0.96098066017896,0,1013.79395833334,353.332520833341,61.8082682291618,0,0,0,0,0,0,0,0,0
1723,-64.0106201171875,32.04345703125,1134.94873046875,0.785769248085318,0.933619024979262,0,1058.1055,379.6386875,55.48095703125,0,0,0,0,0,0,0,0,0
1724,-68.4865315755071,46.8699137369864,1098.22591145832,0.787158220299708,0.910374231915114,0,1000.20345833335,365.153000000001,50.394694010397,0,0,0,0,0,0,0,0,0
1725,-61.391194661462,54.4993082682342,1016.13362630211,0.789979132873336,0.893024479204645,0,904.907208333371,335.367854166678,39.1845703125026,0,0,0,0,0,0,0,0,0
1726,-62.408447265625,48.675537109375,982.36083984375,0.794048289571875,0.881475076463587,0,862.793,317.62696875,40.71044921875,0,0,0,0,0,0,0,0,0
1727,-58.135986328099,53.7618001301729,968.322753906215,0.796802277350985,0.866335163782272,0,837.68718749998,311.279302083328,36.58040364582,0,0,0,0,0,0,0,0,0
1728,-60.704549153644,63.349405924468,988.006591796871,0.798002263383824,0.845609138153772,0,834.554020833332,318.054208333336,31.941731770833,0,0,0,0,0,0,0,0,0
1729,-64.1632080078125,82.3974609375,963.43994140625,0.79994486429778,0.821744301368625,0,790.527375,308.8989375,25.08544921875,0,0,0,0,0,0,0,0,0
1730,-78.0232747395696,98.2411702473691,954.53898111976,0.801016839268303,0.795980629179851,0,762.532583333315,303.812666666656,28.8289388020891,-36.5956624348799,6.02722167968099,138.956705729118,0.481278522843676,1.17996132043259,0,161.580406249936,-66.0807291666435,41.21907552082
1731,-79.3202718098821,112.940470377577,933.024088541665,0.800724112958888,0.769727139354665,0,718.994124999986,296.061197916658,20.9757486979213,-5.00996907550818,-22.7355957031131,244.750976562474,0.480012188099627,1.16830047239421,0,288.574229166656,-117.085776041663,-5.37109375001995
1732,-59.50927734375,121.917724609375,823.211669921875,0.800481787299093,0.744213745425364,0,615.6005625,261.71875,0.671385559082031,19.83642578125,-34.48486328125,296.32568359375,0.478804894840105,1.14477532733067,0,336.30371875,-140.441890625,-43.45703125
1733,-47.5565592448011,115.966796874983,674.33675130208,0.799941847005789,0.713932187128619,0,483.032218749986,215.942380208349,-7.50732519529862,40.0034586588722,-58.4411621093772,440.572102864559,0.475036610594439,1.1383870640479,0,501.993822916619,-208.496104166658,-77.8808567708351
1734,-38.2486979166685,107.777913411442,509.185791015631,0.796945216514496,0.691043906577506,0,355.224614583335,163.879395833336,-10.8235677083244,57.9833984375119,-40.486653645812,601.704915364587,0.47293354746575,1.12029563194389,0,674.68260416667,-280.985531249999,-80.6884765625052
1735,-20.6756591796875,91.7816162109375,338.287353515625,0.793165798864285,0.670212640637683,0,232.177734375,109.1918984375,-16.4794921875,93.3837890625,-68.511962890625,683.135986328125,0.470297841103858,1.11017527837235,0,756.958,-322.0825,-144.6533125
1736,-20.1161702474103,63.9597574869647,184.071858723981,0.787594780041128,0.659780048980499,0,122.151692708343,60.4654947916834,-4.25211588539354,103.581746419287,-70.2412923177228,779.876708984349,0.469208862888243,1.09038101013185,0,854.41079166663,-366.068520833319,-141.25569270835
